ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
TXN;1981;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1
VAS;1981;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
VBH;1981;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0
VLC;1981;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
XNP;1981;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0
XSC;1981;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0
ZBB;1981;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0
ZBK;1981;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
ZVK;1981;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0
ZVS;1981;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1
AK3;1982;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AK4;1982;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AK9;1982;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0
AP5;1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA4;1982;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CL5;1982;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CL6;1982;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
JC5;1982;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JJ4;1982;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JK5;1982;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
JV3;1982;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SD4;1983;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0
SP9;1983;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1
TF7;1983;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TP6;1983;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XK7;1983;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
36;1984;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1
131;1984;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
201;1984;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
313;1984;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1
341;1984;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1
388;1984;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1
423;1984;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
444;1984;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0
682;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1
695;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
725;1984;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
742;1984;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0
772;1984;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AAAV;1985;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AASF;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
ABBD;1985;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1
ABLN;1985;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ABTH;1985;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ABTJ;1985;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1
ACJF;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
ACJN;1985;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ACZA;1985;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1
ACZD;1985;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADBC;1986;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1
ADFC;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
AFTJ;1986;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AHAH;1986;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
AHLA;1986;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AHPZ;1986;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
AHTJ;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AJFJ;1987;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0
AJJH;1987;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1
AJPN;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AJPP;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1
